comment,sentiment
两个 人去 100 多个 号 行 着急 特地 拔草 点 一直 烤鸭 味道 不错 特别 慢 以后 吃 两口 还点 奶酪 鱼 名不虚传 好吃 还点 松茸 木耳 好像 名字 松茸 炒鸡少 味道 推荐 还点 招牌 梨 汤 不错 好喝 点 奶酪 虾球 味道 行 桌上 隔壁 桌 量 少 吃 发现 隔壁 桌上 发现 桌 分量 看人下菜 碟 ,0
冲着 推荐 后悔 死 上菜 巨慢 服务态度 超级 差 东西 咸 要死 普遍 贵 犯二 这辈子 再来 ,0
超级 差评 上菜 慢 服务态度 超级 差 先 汤 喝 完事 菜 一个 找 服务员 催 半天 不来 最后 结账 态度 超级 差 一个 个子 不高 门口 附近 桌子 服务员 ,0
好吃 中餐 西餐 味 用餐 排队 15 分钟 爆 ,1
平日 晚餐 时间 不算 晚人 依旧 火爆 一个 小时 安排 一张 超小 桌子 只 适合 下午茶 很无语 点 奶酪 罐子 依旧 喜欢 芝士 布朗 尼 好吃 彩虹 沙拉 料足 好 喜欢 意面 不错 喜欢 奶油 口味 还点 限量 卤肉饭 好吃 总体 来说 不错 ,1
好吃 烤肉 速度 人多 稍 慢 ,1
总体 不错 推荐 菜 手 撕饼 有点 腻 ,1
菜单 微信 点菜 先 付款 吃 钱付 忙活 点餐 付款 十几 二十分钟 真得 饿 吃饭 饿死 ,0
上周末 娜娜 家 一直 点评 今天 工作 忙 赶紧 来补 一个 一个 爱 吃 甜食 女生 真的 这种 小 甜点 西餐厅 爱不释手 恨不得 天天 吃 周末 公司 加班 大悦 城 大悦 城有 娜娜 家 毫不犹豫 拉 男朋友 拔草 【 位置 】 大悦 城五楼 骑鹅 公社 路痴 来说 位置 不算 好找 拉着 男票 足足 转 两圈 一个 角落 看到 娜娜 家门口 标志性 小车 【 环境 】 周末 不算 少 排队 等位 屁股 坐下 两分钟 安排 位置 进门 下楼梯 直对 单人 沙发 坐 桌子 有点 矮 适合 下午茶 点杯 咖啡 葛优 躺 闺蜜 聊 下午 天 吃 正餐 舒服 男票 一度 表示 想换个 位置 无奈 人太多 只能 凑合 坐 【 服务 】 服务员 素质 算 不错 坐下 后 及时 送来 iPad 点餐 一直 服务员 站 店里 随时 等候 召唤 点 好餐 服务员 贴心 问 是不是 顺序 有没有 告诉 菜 需要 多久 店里 提供 移动 电源 需要 100 押金 算是 比较 周到 服务 食物 【 娜娜 奶酪 罐子 】 娜娜 家 限量 奶酪 一桌 限点 一个 一次 娜娜 家 有点 晚 奶酪 已经 这次 一定 错过 顶层 巧克力 味 芝士 饼干 树莓 中间 奶酪 口感 味道 不错 吃 有点 腻 底层 应该 饼干 底 奶酪 一定 及时 消灭 掉 放热 影响 口感 【 巧克力 鲜奶油 冰淇淋 华夫 】 量 足 四块 华夫 每块 很大 冰激凌 会化 很快 想要 慢悠悠 吃饭 伙伴 嘴 闲下来 再 冰激凌 华夫 影响 口感 【 煎 烤 德国 香肠 】 强推 口感 味道 一级 棒 配菜 土豆泥 好吃 蘸 酱 略偏 酸 个人感觉 不沾酱 比较 好吃 爱 肉食 小伙伴 尝试 一下 呦 【 烟花 妓女 意大利 面 】 完全 名字 吸引 男票 味道 是因为 当时 已经 吃饱 【 芝士 鸡肉 蘑菇 意大利 面 】 无功 无过 算是 正常 意面 比较 偏爱 芝士 奶油 点 饮品 点 鸳鸯 奶茶 偏甜 偏苦 奶茶 类型 咖啡 味 浓 爱 港式 奶茶 试试 娜娜 家 环境 不错 菜品 好 朋友 小聚 情侣 约会 选择 分店 歌手 驻唱 男孩子 晚上 女朋友 听歌 吃 甜点 相信 大部分 女孩子 喜欢 娜娜 家 甜品 ,1
服务员 摇摇手 位置 话 一句 ,0
这家 一直 想 终于 赶个 闺蜜 时间 日子 早早 不到 五点 半到 已经 排到 10 几号 半个 小时 两个 排号 只 发中桌 两个 占 一张 桌子 不好意思 点 三个 菜 两杯 饮料 我俩 好撑 吃不完 味道 好吃 真的 点菜 美味 不用 觉得 新颖 以后 还会 再 ,1
东西 挺 好 味道 不错 多点 环境 好 ,1
早就 耳闻 卤肉饭 不太 喜欢 吃 甜口 米饭 太硬 太 硬 应该 肉 很烂 烟花 意面 挺 辣 意大利 酱 味道 挺 浓 之前 随便 坐 这次 高 男服务员 不让 座 看到 三口 坐个 六人座 上菜 坐 地方 小孩 哭 感觉 有点 合适 ,0
公司 对面 同事 来过 几次 菜 味道 今天 家人 路过 尝尝 桌子 上方 有风 孩子 习惯 里面 服务员 一下 服务员 找张 风吹 桌子 找 张 风 没人 桌子 坐下 坐 半天 可气 迎宾 员 穿 蓝色 衣服 女孩 后面 带个 客人 坐 位子 坐 半天 点菜 坐 原来 位子 口气 商量 矛盾 推 两家 顾客 解决 对方 谈 开业 生意 好 服务 无所谓 迎宾 安排 排位 女 服务态度 服务 意识 够 差 不想 大庭广众 之下 一个 女 费口舌 最后 只好 回到 原来 位子 勉强 吃 完 顿饭 记忆 深刻 下次 再也 不来 联系 周围 同事 别来 不想 吃个 饭 受气 ,0
每次 排队 恒隆 外婆家 抗衡 价格 方面 接受 餐厅 环境 味道 ,1
这次 过生日 汉巴味德 这回 真的 太 失望 想要 一下 从刚 开业 6.6 一直 吃 怀孕 吃生 完 孩子 几年 过生日 吃 过生日 活动 接受 重点 食物 品质 回过 生日 场面 乱 人多 能比 开业 时 吃 供 抢 真的 挺无语 现烤 烤肉 真的 太慢 太慢 这次 味道 好吃 多点 开业 时 饮料 供 真的 太 失望 吃 自助 每次 想到 现在 真是 差 一点 以后 过生日 再来 太 失望 还要 一下 宝宝 椅 真是太 脏 擦 ,0
好多 排号 时间 长 蛋挞 挺好吃 外皮 酥 北极 甜虾 不错 炸鸡腿 觉得 刚出 锅 最 好吃 小 蛋糕 类 八点 已经 不多 中式 小吃 比较 全 鸡蛋羹 肉皮 冻 蕨 根粉 冰淇凌 男票 奶粉 味道 觉得 行 总体 价位 自助餐 里 已经 相当 不错 ,1
先森 解馋 烤 玉米 好吃 估计 吃 七八块 大爱 豆浆 依旧 好喝 奥尔良 烤 翅 梅子 肉 首选 棒棒 哒 ,1
团购 特价 刷卡 转账 服务 差 刚来时 人多 服务员 说话 听不清 号 回答 服务员 收拾 别桌 东西 溅 一身 再也 不来 ,0
来过 两次 两次 虫子 真的 以后 这家 卫生 水平 太 差 ,0
【 位置 】 恒隆 六楼 看见 鼎泰 丰后 一直 往前走 排队 人多 【 环境 】 面积 挺大 容纳 桌数 恒隆 餐厅 里 前 几名 亮堂 就餐 环境 不错 稍微 吵 【 菜品 】 闺蜜 男朋友 第一次 几个 人儿 激动 点多 妈妈 熏 排骨 知道 是不是 菜名 肉 挺 味儿 不错 第一次 吃 好吃 推荐 妈妈 拉皮 挺大 一份 味道 不错 拉皮 太有 嚼 劲儿 明白 平 一个 盘子 装 酱料 流 方便 搅拌 有待 改进 奶 香饼 味道 不错 稍微 有点 油 豆腐 味道 挺 普通 汤 本来 没点 服务员 错看 意外 点上 挺鲜 挺 好喝 绿色 菜 小白菜 酸菜鱼 吃 吃 那块 一大块 鱼皮 有点 腥 金牌 烤 蛏 最 爱 每次 必点 量 有点 少 鱼香肉丝 忘 拍照 应该 没动 筷子 最后 全部 打包 太 开心 一餐 四个 人点 八个 菜 新 加入 小 哥哥 真 敞亮 已 收买 闺蜜团 成员 小 姐妹 好点 点评 为证 ,1
孩子 超 喜欢 知道 吃 东西 巴西 烤肉 一些 蟹 腿 觉得 新鲜 烤肉 不错 啤酒 免费 免费 饮料 比较 差 78 一位 价格 真 加点 星级 酒店 吃 自助餐 以后 不想 人山人海 排队 进不去 打架 素质 够 多加 几十 吃 点 好 这帮 哄抢 一起 吃饭 一个 弄 两 盘子 虾 这辈子 没吃过 想起 泰国 丢人 丢 外国 ,1
稠 小 吊梨汤 挺 好喝 同桌 喝下去 感觉 咳嗽 好多 也许 心理作用 梨球 虾 比较 特色 豌豆黄 挺 正宗 烤鸭 觉得 平平 想点 干酪 鱼 杏仁豆腐 想来 真的 排队 挺 不算 最 小时 饿 门口 煮 鸡蛋 夹 酱发 按人 头发 代领 炸 虾片 柠檬水 自取 ,1
说实话 一次 吃 没劲 东北 菜 快餐 量 越来越少 ,0
比较 晚 下午 一点半 后 服务员 大部分 正在 收拾 上菜 比较 烤肉 自取 菜 ,1
他家 一直 几次 全面 排号 太 望而却步 缘故 今天 一种 牢底 坐 穿 决心 终于 吃 心中 狂喜 评论 一点 过来 味道 不错 没用 惊艳 感觉 品种 真心 单一 主食 品种 少 可怜 与其说是 一家 餐厅 一家 店 贴切 ,1
二楼 小 阳台 吃 晚上 点 小 蜡烛 挺 情调 味道 不错 稍微 有点儿 腻 形式 大于 内容 ,1
吃 自助 好 家 蜜汁 梅肉 真的 好吃 蛋塔 蛋糕 不错 性价比 高 推荐 ,1
雪冰好 棒 薯条 好吃 焗 饭 意面 好吃 西瓜 雪 梨汁 ,1
觉得 东北菜 特别 实诚 北京 家 分店 吃 精致 实际上 粗糙 一个 例子 证明 土豆丝 道菜 好 基本功 盘子 端上来 摆盘 凌乱 盘子 精致 口感 无论是 机器 削 手切 吃 很面 杯子 里 头发 为啥 还要 排队 ,0
菜 有点儿 偏甜口 肚 挺好吃 ,1
一白 遮百丑 一个 难吃 到家 一万个 差评 太甜 太 难吃 ,0
慕名而来 口味 不错 上菜 慢 总 排队 ,1
真的 好 难吃 排 100 多号 招牌菜 一个 主食 凉 服务员 餐具 半天 拿来 真心 差 ,0
等位 一个多 小时 点菜 20 分钟 上菜 20 分钟 呵呵 空位 不让 坐 坐 高位 吧台 口味 呵呵 只能 高于 类型 餐厅 真 心想 火 炒起来 ,0
服务态度 有点 差 菜品 味道 凑合 ,0
菜品 不错 生意 好 实在 店里 服务员 态度 真心 差 领导 好好 培训 吃饭 需要 吃个 心情 ,0
醒来 已经 午饭 点 饭馆 已经 毕餐 打电话 若干 感兴趣 饭馆 无奈 直接 恒隆 纠结 一下 乾元 想着 来过 比较 好吃 先生 换换 点 总是 几个 换 以后 蒙 婆家 豆腐 真是 婆家 木有 肉 一点 味道 太 两个 虾仁 严重 推荐 果酒 第二个 图片 倒置 瓶子 里面 酒 酸 好喝 下面 水果 西瓜 芒果 小丁 西瓜 不甜 芒果 行 味道 差强人意 39 价格 令人 汗颜 妈妈 三杯 鸡 入味 觉得 道菜 改名 三杯 姜蒜 比较 贴切 味道 太甜 刨除 里面 姜蒜 剩 第四个 照片 第五个 摘除 剩下 样子 金牌 小 羊腿 羊腿 拆 弄 成渣 渣 裹 糊炸 口感 鸡蛋 味 推荐 红烧肉 第一个 点 1.5 h 以后 真的 肉 需要 买 味道 太太 太 妈妈 拉皮 配菜 越来越少 酱料 咸酸 愈加 厚重 懒得 拍照 量 小 太 这次 颠覆 对北 李妈妈 好 印象 严重 推荐 从菜 饮料 太 差劲 剩下 环境 态度 上菜 太慢 是非 高峰期 多人 催 次 没用 下次 再 价格 真心 不值 ,0
排队 好久 人气 最旺 以为 好吃 实际 真的 好腻 也许 点 菜 以后 不想 再 店 搞不懂 火 ,0
吃 太 北李 奔 锅包肉 家乡 味道 现在 越来越 偷工减料 肉 小 块儿 少 味道 超级 失望 ,0
菜品 口味 佳 环境 好 服务满意 ,1
最终 爱 店 最爱 下午茶 最爱 娜娜 闺蜜 约会 继续 大悦 城必来 地方 大众 点评 点餐 有图 购物车 方便 樱桃 蛋糕 新出 乳酪 樱花 有点咸 抹 茶 蛋糕 千层 依旧 最 爱 巧克力 原以为 很大 很小 太甜 齁 嗓子 最爱大杯 天空 棉花 糖 饮料 每次 两人 吃不完 记得 一点 找 服务员 打包带 走 ,1
东北菜 味道 不错 中规中矩 价格 高 金牌 烤 蛏 不错 推荐 拉皮 ,1
口味 行 贵 ,1
饥饿 营销 噱头 味道 北京 差远了 服务 差 ,0
排 好久 队 味道 服务 不错 ,1
第三次 知道 大悦 城店 服务 口味 差 分店 华夫 完全 绵软 上次 酥脆 好 品质 控 旁边 桌 服务员 正在 帮 客人 点菜 闺蜜 服务员 一句 麻烦 加水 回 一句 稍等一下 好 那丑 姐姐 回头 怒 正在 这位 客人 说话 等会儿 行 人话 ,0
服务 好 等位 周二 满满的 ,1
环境 很差 装修 地板 很脏 食欲 知道 高 评价 感觉 像是 雇 专门 写 好评 服务员 感觉 受过 培训 甜品 餐具 倒水 终于 知道 它家会 排队 好多 原来 是因为 上菜 太慢 一波 客人 小时 二十分钟 齐餐 具体 菜 口味 尝到 太 好吃 还贵 物美价廉 双倍 奶酪 鸡肉 不太 好吃 希望 改进 下次 挑 餐厅 一定 看看 差评 好评 ,0
口味 行 人太多 排队 开心 价格 偏贵 ,1
菜 味道 菜 油 偏大 有点 腻 价格 小贵 再 第二次 ,0
食材 坏 啊啊啊 太 后悔 再也 不来 ,0
抱 很大 希望 比较 失望 菜品 味道 不值一提 肯定 再 第二次 地方 特色 味道 尤其 豆腐 做 油 咸味 味道 肉龙 比较 好吃 真的 太 梨 汤 贵 ,0
服务态度 好 看到 宝宝 特别 安排 一个 好 位置 菜量 真是 点 熏 排骨 想 味道 真的 陆记 烧鸡 好 建议 买小份 尝尝 塑料 手套 o 蛏子 口味 有点咸 总体 适合 年轻人 口味 比较 辣 ,1
价位 合适 排队 两个 小时 值得 ,1
挺 好 菜品 比较 全 种类 添加 ,1
不错 光顾 店 最 好吃 排骨 ,1
粉 外地 同学 来津 一定 吃 娜娜 家 应该 早 娜娜 家 不用 排号 直接 进好 幸福 有没有 经典 吃 n 多遍 东西 重温 一下 一如既往 好吃 新品 意 面 原谅 记名字 味道 有点像 炸酱面 同学 喜欢 ,1
上菜 好 几次 弄 身上 ,0
装修 特别 味道 天津 菜系 换 叫法 创意 ,1
味道 不错 点太多 吃 ,1
只能 失望 同学 先去 占 座 一行 多人 却 要求 先 现金 付钱 无奈 同学 现金 只能 人齐 排位 灵通 留住 客流量 方法 实在 蠢 关键 手机 支付 方便 支持 想 味道 客户 体验 不佳 最后 一次 ,0
有点 卫生 吃 完 拉肚子 那桌 卫生 18 号 晚上 吃 19 号 早上 拉肚子 细菌 感染者 腹泻 病 一周 时间 瘦 点 烤鸭 鸭汤 豌豆黄 虾 乳酪 鱼 记不清 楚 夏天 注意 卫生 真心 觉得 味道 卫生 差劲 ,0
北京 没拔 草 大悦 城拔 人太多 火 不行 蜜 等位 一个 小时 说好 再 吃 不到 打火 回 北京 吃 推荐 黎球 果仁 虾 ,1
口味 偏甜 容易 腻 真心 吃 不惯 环境 服务 ,0
上菜 超级 慢 催 好 几次 人理 最后 服务员 上菜 太慢 服务员 上菜 慢 没关系 后 厨 事 无语 服务态度 不好 ,0
第一次 吃 国庆 期间 吃 五十 返 五十 说实话 确实 菜 不错 返券 第二次 再 略有 失望 妈妈 熏 排骨 第二次 点 大份 第一次 第一次 点 小份 奶香手 撕饼 分量 缩小 点 重复 没法 比较 服务 一般般 积极 菜品 味道 不错 推荐 铁板 茄 夹 熏 排骨 奶香手 撕饼 疙瘩汤 婆婆 豆腐 好像 ,1
环境 没什么 可说 地方 开业 差 以后 再 ,0
价位 性价比 真的 高 之后 介绍 家人 吃 ,1
外层 奶油 不好 应该 鲜奶油 内层 主要 蛋糕 直接 粘 盒子 为啥 油纸 卫生 点 ,0
影响 最深 烟花 妓女 意大利 面 当时 觉得 名字 很酷 点 味道 不错 ,1
环境 好 菜品 不错 剔牙 鸡 好吃 水煮 肉片 不错 ,1
听说 这家 店 火爆 晚上 特意 过来 品 品尝 一下 想象 好吃 店内 特色 小 吊梨汤 口感 很浓 感觉 放 淀粉 不太 爱喝 烤鸭 口味 特色 梨球 果仁 虾 不错 口味 偏甜 人气 爆满 原因 北京 店 宣传 尝过 之后 有点 失望 服务 人员 特别 热情 态度 好 满意 ,1
有意思 一家 店 本来 点评 以为 一家 酒楼 来回 找 好久 找到 找到 时 小门 脸 愣 半天 一楼 已经 坐满 二楼 两个 座位 坐下 菜单 一看 笑 老板 脑 洞略 家常菜 名字 却 忍俊不禁 张三疯 小宝 hold 不住 米饭 米饭 干粮 可尔 必思 可尔 必思 喝 知道 套路 套路 哈哈哈 吃 完 觉得 大部分 菜 味道 不错 女神 女 汉子 确实 两个 原材料 名字 搭 看看 好 环境 下 功夫 个性 发挥 总体 不错 ,1
环境 不错 有点 小吵 东西 全 挺 新鲜 总体 韩 古风 汉斯 好 ,1
点 推荐 熏 排骨 味道 肉 有点 柴 地方 熏苦 锅包肉 调味汁 酸味 有点 刺鼻 整体 挺 差 推荐 奶香手 撕饼 味道 热 好吃 太油 最 不爽 离桌 服务员 收盘 子 高峰 时段 等位 人多 店员 明目张胆 赶人 反正 再也不会 ,0
服务 差 菜 口味 纸巾 收钱 环境 真不知道 火 ,0
完 电影 直奔 北 李妈妈 大众 号 真的 不错 多久 省去 现场 时间 感觉 金牌 烤 蛏 盘子 原来 小 是因为 平安夜 盘子 不够 使 早 已经 换 小盘 记得 以前 吃 很大 一盘 味道 依旧 喜欢 京都 馅饼 俩种 馅料 一种 一半 一种 好像 里面 韭菜 俩 一份 吃 完 一共 12 角 三杯 素 香菇 西兰花 芋头 胡萝卜 白萝卜 最近 雾 霾 比较严重 特意 点 清肺 味道 不错 油 比较 还点 苦瓜 真苦 火 汤 鸡蛋 黑木耳 汤 黑木耳 清肺 好 东西 一顿饭 花 170 吃 舒心 剩 打包 一盒 ,1
菜品 一如既往 好 排骨 炖 酸菜 最 爱 服务 好 上菜 速度 ,1
周六 中午 真的 火爆 一个 小时 坐 煮 鸡蛋 配 辅料 看着 味道 惊喜 梨球 果仁 虾 发甜口 一定 吃 呦 脆脆 好吃 底下 脆脆 梨 味道 不错 小 煎 猪肝 慢慢 一盘 味道 真的 超级 棒 很嫩 入味 超级 喜欢 记忆 大懒龙 童年 肉龙 味道 正宗 驴打滚 精致 分量 刚刚 好 味道 不错 特别 甜 觉得 腻 干酪 鱼 奶酪 味道 很浓 微甜 觉得 腻 喜欢 梨 汤 很浓 稠 甜度 适中 总体 来说 性价比 高 一家 店 比较 新颖 喜欢 ,1
口味 偏重 果汁 实在 太 甜 兑水 喝 环境 实在 太差 嘈杂 不行 排队 排 一个半 小时 享受 环境 这饭 吃 知道 多人来 ,0
菜品 真心 咋样 环境 尚可 服务 挺 热情 ,0
不错 小店 感觉 特色 天津 菜 偏 甜 吃 不错 ,1
去过 北京 吃 天津 口味 环境 北京 人来 喝梨汤 喝完 一次 再 喝 梨味淡 增稠剂 太 家 熬过 梨 汤 味道 比较 一下 知道 山药 酸 泡久 服务员 免单 以后 专程 告诉 食材 新鲜 ,0
环境 乱 音响 噪音 吃 西餐 氛围 迪厅 酒吧 感觉 今天 周三 不忙 日 服务 主动 好几遍 再也 不去 ,0
量 太少 味道 不好 好评 刷 ,0
之前 好评 惭愧 这是 第三次 这家 店 第一张 图 发布 一张 服务员 照片 是因为 好爽 张扬 性格 排号 A027 小伙伴 知道 水游城 整个 四层 汉巴味德 场地 坐 随机 找个 座位 排号 门口 装饰 轮 舵 走 大门口 平层 慢慢 走来 要个 20 30 步 服务员 喊道 27 号 起身 走过 门口 喊 28 号 票号 看到 一脸 无奈 大声 吼 “ 姐姐 刚刚 喊 遍 27 号 ” 顾客 走路 慢 错 进场 已经 曾经 干净 整洁 面貌 空气 特别 不好 陈旧 酸腐 味道 还要 里面 耐心 等待 一段时间 一个 小姐姐 一句 听 清 往前走 五步 左右 突然 回头 大吼 “ 27 号 吃 不吃 ” 一次 雷倒 对不起 对不起 耳朵 不太好 实在 听 清 走 现在 价格 曾经 每人 68 上调 每人 73 自酿 啤酒 12 一扎 味道 比较 苦 每次 一升 啤酒 男朋友 喝 一半 放下 酒杯 服务 两颗 星 切肉 串 小哥儿 倒 兢兢业业 五颗 不亏 倒 要说 门口 领位 小朋友 家 老板 欠 钱 欠 钱 老板 打架 集体 罢工 知道 很累 一站 一整天 顾客 支持 仁慈 当成 发泄 出口 以后 不吃 自助餐 ,0
今天 同事 中午 一起 吃 之前 去过 两次 号 吃 周末 平日 很多很多 今天 中午 30 分钟 吃 第一个 菜 觉得 等待 值得 最 喜欢 妈妈 菜 拉皮 东北 饭馆 味道 真心 不错 菜量 超级 锅包肉 超级 棒 棒 叫做 手艺 不错 货真价实 真心 脆脆 甜甜 没口 外焦里嫩 肉 肉 不像 现在 那种 餐馆 吃 大片 面糊 外加 肉 里面 黏 黏 恶心 那种 不错 真心 以后 再 光顾 ,1
价格 菜 精品 推荐 上菜 速度 味道 总体 来说 偏甜 清淡 菜量 不算 小 吃个 新鲜 幸亏 抽到 代金券 省去 200 块 感觉 不太值 菜会 临时 告知 好 服务 贴心 尝试 新鲜 一回 ,1
实惠 一家 店 朋友 多去 比较 好 他家 菜量 很大 轻易 吃 排队 ,1
用美团 告诉 团时 看好 日期 限制 咨询 美团 客服 告知 商家 27 日 改 早 干嘛 不让 别出 团购 团 大众 点评 进 商家 无德 ,0
蛋挞 完美 亲砸玛 喜达 ,1
以前 便宜 生意 太好 ,1
口味 佳 菜品 好 适合 孩子 一起 吃 地处 闹市 恒隆 太大 容易 转晕 ,1
好吃 头 一次 吃 自助 进 包间 肉肉 送进来 自助餐 猪蹄 哈哈哈哈 吃 棉花 糖 软糖 超级 好 以后 还会来 ,1
西餐 讲究 点 上菜 顺序 先上 红烧肉 甜品 再 沙拉 汤 主菜 45 分钟 自动 取消 ,0
上菜 太慢 还好 味道 ,1
菜 味道 好 人太多 平日 晚一点 可选 菜 ,1
菜 种类 大悦 城 价位 店贵 娜娜 做 死 节奏 服务员 态度 不好 爱答不理 杯水 半个 小时 知道 这家 私房 菜火 ,0
五人 一起 吃 吃 完 三个 医院 诊断 细菌性 肠胃炎 东西 太脏 一定 ,0
味道 真的 不错 枉费 长时间 时间 真的 太 长 自制 豆腐 外皮 很脆 豆腐 做 嫩 淀粉 疙瘩汤 那种 小粒 疙瘩 好喝 里面 一些 小 碎 扇贝 小豆 凉糕 好吃 很甜 干酪 鱼 每桌 必点 有点像 杏仁豆腐 味 双皮奶 等位 过程 中 拿取 号 条换 鸡蛋 乱七八糟 酱 堆 一起 不难 吃 唯一 缺点 人太多 太多 关键 里面 店面 很大 显得 ,1
不错 自助 东西 很全 新鲜 ,1
不错 不错 环境 好 寿司 好吃 冰淇淋 挤 圆筒 里 加在 热 巧克力 里 热 巧克力 雀巢 美禄 看见 服务员 里加 整袋 棉花 糖 太 开心 孩子 只花 25 喜欢 ,1
想 吃 肉 太慢 想 吃海鲜 却 服务 不怎么样 ,0
自助 里 超级 自助 便宜 时间 ,1
味道 不错 有点 贵 环境 服务员 客人 人多时 有点 乱 ,0
不太值 有点 贵 相当 菜品 不值 价 ,1
味道 太甜 上菜 太慢 ,0
吃 每次 人山人海 建议 公休日 下午 点去 排队 菜 味道 行 菜量 价位 相对 质量 来书 便宜 ,1
朋友 吃饭 首选 娜娜 家 以前 总在 一店 吃 大悦 城 这家 环境 更好 手机 点单 挺 方便 ,1
家 人们 觉得 好吃 觉得 还行 ,1
挺不错 位置 有点 隐秘 找 好久 口味 很棒 ,1
客观 评价 吃 东西 环境 还好 服务态度 真的 太差 太差 差 六个 一个 孕妇 一个 七人 号 孕妇 太挤 人之常情 号 前台 号 服务员 不让 进 要交 钱 进 前台 号 服务员 动手 打人 口出 恶言 真的 没见 服务行业 一点 服务 意识 态度 恶略 真的 店大欺客 号 不让 进 就让 真的 理解 ,0
比较 嘈杂 环境 菜品 吃 一点 菜 再 新鲜 点 好 ,1
咸 锅包肉 太 难吃 真 值得 排队 ,0
菜不贵 排队 服务员 误导 菜量 很大 使劲 点 问 是不是 有点 三个 人点 十个 菜 拉皮 中 好吃 不错 量 很大 京酱 肉丝 味道 不错 豆腐 皮包 肉 金牌 蛏子 量 味道 摆盘 精致 酸辣 土豆丝 中规中矩 挺好吃 饼奶 香味 很足 不错 ,1
餐厅 下午 40 号 前边 小桌 27 排队 肯定 完号 事先 问 服务员 号 后 有桌 回答 一共 46 张 小桌 肯定 问题 耗到 10 分才 叫好 一个 墨迹 看着 里面 一堆 空桌 号 一个劲 发号 一堆 空桌 不让 人进 外面 全是 美其名曰 服务员 少 忙不过来 请问 顾客 进 店里 坐 慢慢 点菜 怎么着 顾客 坐下 点菜 看看 菜单 商量 商量 想 外面 排队 显得 家 生意 好 ,0
味道 分量 很大 排 两个 小时 吃 人太多 饿 不行 觉得 味道 挺好吃 ,1
津菜 鸡肉 菜 太 味道 偏甜 菜 难度 感觉 在家 做 菜单 菜名 挺 新意 ,1
网红 餐厅 菜品 味道 真的 不过关 一试 必要 ,0
不错 老婆 孩子 喜欢 吃 环境 好 ,1
上菜 速度 超快 味道 不错 有点 ,1
